subnum,run,avg_comp,avg_stranger,avg_friend,misses
104,1,4.545455,5.666667,5.666667,1.000000
104,2,5.666667,5.666667,5.666667,0.000000
104,3,5.666667,5.666667,5.666667,0.000000
104,4,5.666667,5.666667,5.666667,0.000000
104,5,5.666667,5.666667,5.666667,0.000000
105,1,2.545455,1.833333,5.666667,1.000000
105,2,3.090909,3.833333,4.666667,1.000000
105,3,4.363636,4.000000,4.500000,1.000000
105,4,4.166667,3.833333,5.166667,0.000000
105,5,3.833333,4.500000,4.666667,0.000000
106,1,3.333333,2.909091,4.545455,2.000000
106,2,4.500000,3.666667,3.333333,0.000000
106,3,1.833333,1.833333,1.500000,0.000000
107,1,2.333333,3.666667,5.166667,0.000000
107,2,4.000000,4.333333,4.666667,0.000000
107,3,3.833333,4.333333,5.166667,0.000000
107,4,2.000000,4.000000,4.833333,0.000000
107,5,3.833333,5.000000,4.833333,0.000000
108,1,2.833333,4.166667,5.666667,0.000000
108,2,5.500000,5.333333,5.666667,0.000000
108,3,5.000000,5.500000,5.666667,0.000000
108,4,4.500000,5.666667,5.666667,0.000000
108,5,4.666667,5.090909,5.666667,1.000000
109,1,5.090909,5.272727,5.666667,2.000000
109,2,4.666667,4.500000,5.666667,0.000000
110,1,4.000000,4.833333,5.000000,0.000000
110,2,4.333333,4.500000,3.666667,0.000000
112,1,2.833333,5.500000,5.166667,0.000000
112,2,4.166667,3.833333,5.000000,0.000000
112,3,5.000000,4.666667,4.500000,0.000000
112,4,5.000000,5.166667,4.833333,0.000000
112,5,5.666667,5.333333,4.545455,1.000000
113,1,2.666667,5.166667,4.000000,0.000000
113,2,2.333333,5.454545,4.000000,1.000000
113,3,2.000000,5.666667,4.833333,0.000000
113,4,2.500000,5.333333,5.666667,0.000000
113,5,2.666667,5.666667,5.666667,0.000000
