onset	duration	trial_type	response_time	Offer
4.017500	3.518580	event_reject_computer_unfair	1.141030	1
4.017500	33.500000	block_computer_unfair	n/a	n/a
8.296080	3.528660	event_reject_computer_unfair	1.633340	3
12.589700	3.519230	event_reject_computer_unfair	2.276510	6
16.864900	3.507650	event_reject_computer_unfair	1.720700	2
21.140000	3.505610	event_accept_computer_unfair	1.530900	10
25.412600	3.517900	event_reject_computer_unfair	1.678600	2
29.698000	3.522750	event_reject_computer_unfair	1.612380	2
33.979600	3.512520	event_accept_computer_unfair	1.549960	4
47.507300	3.509580	event_reject_outgroup_unfair	1.915710	3
47.507300	33.500000	block_outgroup_unfair	n/a	n/a
51.784600	3.503020	event_reject_outgroup_unfair	1.608140	1
56.043800	3.525350	event_reject_outgroup_unfair	1.785670	1
60.334200	3.521820	event_accept_outgroup_unfair	2.715360	2
64.625200	3.503050	event_accept_outgroup_unfair	1.409820	10
68.887000	3.506920	event_reject_outgroup_unfair	1.485390	1
73.164400	3.509770	event_reject_outgroup_unfair	1.928150	2
77.442600	3.510410	event_accept_outgroup_unfair	1.819300	5
90.949700	3.526990	event_accept_ingroup_fair	1.771460	8
90.949700	33.500000	block_ingroup_fair	n/a	n/a
95.239900	3.514340	event_accept_ingroup_fair	1.950570	8
99.512700	3.507570	event_reject_ingroup_fair	1.530280	3
103.772000	3.508030	event_accept_ingroup_fair	1.573840	10
108.038000	3.519470	event_reject_ingroup_fair	1.862240	7
112.316000	3.507630	event_reject_ingroup_fair	1.553020	6
116.594000	3.526400	event_accept_ingroup_fair	1.512530	8
120.873000	3.506880	event_accept_ingroup_fair	1.468440	9
132.387000	3.502750	event_accept_outgroup_fair	1.530660	10
132.387000	33.500000	block_outgroup_fair	n/a	n/a
136.656000	3.508230	event_reject_outgroup_fair	1.531240	7
140.934000	3.515270	event_accept_outgroup_fair	1.472110	10
145.209000	3.520410	event_accept_outgroup_fair	1.666780	10
149.491000	3.524670	event_reject_outgroup_fair	1.538210	5
153.777000	3.505430	event_accept_outgroup_fair	1.571210	9
158.044000	3.511500	event_reject_outgroup_fair	1.624400	1
162.311000	3.519460	event_accept_outgroup_fair	1.877420	8
173.845000	3.503930	event_reject_ingroup_unfair	1.501350	2
173.845000	33.500000	block_ingroup_unfair	n/a	n/a
178.112000	3.517480	event_reject_ingroup_unfair	1.503560	5
182.399000	3.515290	event_accept_ingroup_unfair	1.636750	10
186.677000	3.529570	event_reject_ingroup_unfair	1.644940	4
190.974000	3.513770	event_reject_ingroup_unfair	1.550520	1
195.253000	3.509280	event_reject_ingroup_unfair	1.541570	4
199.524000	3.519230	event_reject_ingroup_unfair	1.707260	3
203.789000	3.515410	event_reject_ingroup_unfair	1.727740	3
217.319000	3.532060	event_accept_ingroup_fair	2.908450	10
217.319000	33.500000	block_ingroup_fair	n/a	n/a
221.617000	3.518320	event_reject_ingroup_fair	1.680050	7
225.886000	3.517280	event_reject_ingroup_fair	1.530230	10
230.164000	3.519370	event_reject_ingroup_fair	2.039560	8
234.439000	3.520650	event_reject_ingroup_fair	1.482420	4
238.718000	3.516440	event_reject_ingroup_fair	1.808350	8
243.002000	3.531460	event_reject_ingroup_fair	2.344770	6
247.289000	3.520690	event_accept_ingroup_fair	1.509650	9
262.816000	3.506840	event_reject_computer_fair	2.044840	7
262.816000	33.500000	block_computer_fair	n/a	n/a
267.091000	3.505450	event_reject_computer_fair	1.438190	6
271.363000	3.519300	event_accept_computer_fair	2.019160	9
275.637000	3.520920	event_accept_computer_fair	1.714300	9
279.926000	3.506530	event_accept_computer_fair	1.946410	10
284.194000	3.520660	event_reject_computer_fair	1.780420	8
288.484000	3.510990	event_reject_computer_fair	1.393650	7
292.759000	3.523390	event_reject_computer_fair	2.239320	3
308.303000	3.520280	event_reject_outgroup_fair	1.954900	4
308.303000	33.500000	block_outgroup_fair	n/a	n/a
312.578000	3.518020	event_reject_outgroup_fair	2.250150	9
316.847000	3.508550	event_accept_outgroup_fair	1.967530	9
321.112000	3.505080	event_accept_outgroup_fair	1.472450	10
325.374000	3.503460	event_reject_outgroup_fair	1.696690	6
329.646000	3.520660	event_reject_outgroup_fair	1.276970	7
333.928000	3.521100	event_reject_outgroup_fair	1.915020	7
338.206000	3.518180	event_accept_outgroup_fair	2.089620	9
353.740000	3.529920	event_reject_outgroup_unfair	1.866910	1
353.740000	33.500000	block_outgroup_unfair	n/a	n/a
358.037000	3.503050	event_accept_outgroup_unfair	2.240330	10
362.307000	3.503900	event_reject_outgroup_unfair	1.874230	3
366.566000	3.528740	event_reject_outgroup_unfair	1.767380	1
370.852000	3.520790	event_reject_outgroup_unfair	2.166580	3
375.141000	3.517930	event_reject_outgroup_unfair	2.198620	6
379.426000	3.515630	event_reject_outgroup_unfair	1.766190	2
383.696000	3.525890	event_reject_outgroup_unfair	1.815880	1
