onset	duration	trial_type	response_time	trust_value	choice
4.273080	1.329510	choice_friend	1.329510	4	high
12.546400	1.000000	outcome_friend_recip	1.329510	4	high
16.777300	1.601010	choice_friend	1.601010	4	high
22.031400	1.000000	outcome_friend_recip	1.601010	4	high
30.045600	1.541890	choice_computer	1.541890	4	high
35.322400	1.000000	outcome_computer_recip	1.541890	4	high
39.541800	1.335780	choice_stranger	1.335780	8	high
44.790100	1.000000	outcome_stranger_defect	1.335780	8	high
49.029900	1.520940	choice_stranger	1.520940	4	low
54.288000	1.000000	outcome_stranger_defect	1.520940	4	low
60.540500	1.335450	choice_friend	1.335450	8	high
67.300300	1.000000	outcome_friend_recip	1.335450	8	high
73.564800	1.320320	choice_friend	1.320320	8	high
80.334400	1.000000	outcome_friend_defect	1.320320	8	high
88.585100	1.578110	choice_friend	1.578110	4	low
95.324500	1.000000	outcome_friend_defect	1.578110	4	low
105.620000	1.471070	choice_stranger	1.471070	2	low
112.380000	1.000000	outcome_stranger_defect	1.471070	2	low
116.607000	1.324210	choice_friend	1.324210	4	high
121.868000	1.000000	outcome_friend_defect	1.324210	4	high
128.162000	1.746370	choice_friend	1.746370	2	high
133.433000	1.000000	outcome_friend_recip	1.746370	2	high
137.429000	1.919380	choice_computer	1.919380	2	low
144.197000	1.000000	outcome_computer_defect	1.919380	2	low
150.436000	1.352780	choice_friend	1.352780	8	high
155.705000	1.000000	outcome_friend_recip	1.352780	8	high
161.939000	1.877020	choice_stranger	1.877020	8	high
167.204000	1.000000	outcome_stranger_recip	1.877020	8	high
173.228000	1.744830	choice_computer	1.744830	8	high
178.492000	1.000000	outcome_computer_defect	1.744830	8	high
182.745000	1.600910	choice_stranger	1.600910	2	high
191.009000	1.000000	outcome_stranger_recip	1.600910	2	high
199.300000	1.407260	choice_friend	1.407260	8	high
204.567000	1.000000	outcome_friend_defect	1.407260	8	high
212.576000	1.340640	choice_computer	1.340640	4	high
219.337000	1.000000	outcome_computer_defect	1.340640	4	high
223.560000	1.165010	choice_stranger	1.165010	8	high
230.318000	1.000000	outcome_stranger_recip	1.165010	8	high
236.562000	1.505570	choice_friend	1.505570	8	high
241.836000	1.000000	outcome_friend_recip	1.505570	8	high
246.075000	1.499200	choice_stranger	1.499200	2	high
251.340000	1.000000	outcome_stranger_defect	1.499200	2	high
255.577000	1.920320	choice_stranger	1.920320	8	high
260.828000	1.000000	outcome_stranger_defect	1.920320	8	high
265.071000	1.400660	choice_stranger	1.400660	2	low
270.345000	1.000000	outcome_stranger_recip	1.400660	2	low
276.604000	1.476460	choice_stranger	1.476460	4	high
284.857000	1.000000	outcome_stranger_recip	1.476460	4	high
288.894000	1.543710	choice_computer	1.543710	4	low
294.160000	1.000000	outcome_computer_defect	1.543710	4	low
304.423000	1.409070	choice_friend	1.409070	4	high
309.684000	1.000000	outcome_friend_defect	1.409070	4	high
315.705000	1.534670	choice_computer	1.534670	2	high
322.477000	1.000000	outcome_computer_recip	1.534670	2	high
332.467000	1.734690	choice_computer	1.734690	8	high
337.728000	1.000000	outcome_computer_recip	1.734690	8	high
341.733000	1.675970	choice_computer	1.675970	4	high
349.997000	1.000000	outcome_computer_recip	1.675970	4	high
354.004000	1.947170	choice_computer	1.947170	8	high
362.264000	1.000000	outcome_computer_recip	1.947170	8	high
366.275000	1.634800	choice_computer	1.634800	4	high
371.542000	1.000000	outcome_computer_defect	1.634800	4	high
375.541000	1.575400	choice_computer	1.575400	2	high
382.281000	1.000000	outcome_computer_defect	1.575400	2	high
386.523000	2.167120	choice_friend	2.167120	0	low
398.030000	1.784950	choice_stranger	1.784950	8	high
404.804000	1.000000	outcome_stranger_recip	1.784950	8	high
409.038000	1.634990	choice_stranger	1.634990	4	high
417.302000	1.000000	outcome_stranger_defect	1.634990	4	high
425.312000	1.455710	choice_computer	1.455710	8	high
430.569000	1.000000	outcome_computer_recip	1.455710	8	high
