onset	duration	trial_type	response_time	trust_value	choice
4.318220	1.407720	choice_stranger	1.407720	2	high
12.576100	1.000000	outcome_stranger_defect	1.407720	2	high
16.848900	1.269130	choice_friend	1.269130	4	high
22.122300	1.000000	outcome_friend_defect	1.269130	4	high
26.417600	2.007760	choice_stranger	2.007760	8	high
31.684100	1.000000	outcome_stranger_defect	2.007760	8	high
39.977300	1.307170	choice_stranger	1.307170	2	high
45.242400	1.000000	outcome_stranger_defect	1.307170	2	high
53.482600	1.562140	choice_friend	1.562140	2	high
58.736100	1.000000	outcome_friend_defect	1.562140	2	high
62.993500	1.824700	choice_friend	1.824700	0	low
80.066600	2.196930	choice_friend	2.196930	8	high
88.324100	1.000000	outcome_friend_defect	2.196930	8	high
94.635300	1.221660	choice_stranger	1.221660	8	high
99.903600	1.000000	outcome_stranger_defect	1.221660	8	high
103.912000	1.485090	choice_computer	1.485090	0	low
116.679000	1.443210	choice_computer	1.443210	4	high
123.456000	1.000000	outcome_computer_defect	1.443210	4	high
127.729000	1.334720	choice_stranger	1.334720	4	high
133.008000	1.000000	outcome_stranger_defect	1.334720	4	high
137.272000	1.565620	choice_friend	1.565620	8	high
144.036000	1.000000	outcome_friend_defect	1.565620	8	high
150.284000	1.746310	choice_friend	1.746310	8	high
158.548000	1.000000	outcome_friend_defect	1.746310	8	high
168.860000	1.816460	choice_friend	1.816460	4	high
174.136000	1.000000	outcome_friend_defect	1.816460	4	high
182.411000	1.291500	choice_friend	1.291500	8	high
187.661000	1.000000	outcome_friend_defect	1.291500	8	high
195.701000	1.526850	choice_computer	1.526850	2	low
202.470000	1.000000	outcome_computer_defect	1.526850	2	low
206.473000	1.480240	choice_computer	1.480240	4	high
211.731000	1.000000	outcome_computer_defect	1.480240	4	high
215.739000	2.038030	choice_computer	2.038030	8	high
221.018000	1.000000	outcome_computer_defect	2.038030	8	high
225.276000	1.657000	choice_stranger	1.657000	4	low
230.539000	1.000000	outcome_stranger_defect	1.657000	4	low
234.552000	2.021810	choice_computer	2.021810	8	high
241.324000	1.000000	outcome_computer_defect	2.021810	8	high
245.556000	1.425000	choice_stranger	1.425000	4	high
252.327000	1.000000	outcome_stranger_defect	1.425000	4	high
258.571000	1.719630	choice_stranger	1.719630	2	low
263.837000	1.000000	outcome_stranger_defect	1.719630	2	low
269.851000	1.146730	choice_computer	1.146730	2	high
275.129000	1.000000	outcome_computer_defect	1.146730	2	high
281.346000	1.677570	choice_stranger	1.677570	8	high
289.597000	1.000000	outcome_stranger_defect	1.677570	8	high
293.859000	1.354830	choice_stranger	1.354830	4	high
299.118000	1.000000	outcome_stranger_defect	1.354830	4	high
305.416000	1.507930	choice_friend	1.507930	4	high
312.175000	1.000000	outcome_friend_defect	1.507930	4	high
322.192000	1.360370	choice_computer	1.360370	2	high
327.470000	1.000000	outcome_computer_defect	1.360370	2	high
335.704000	3.000000	missed_trial	3.000000	n/a	n/a
344.981000	3.000000	missed_trial	3.000000	n/a	n/a
356.240000	3.000000	missed_trial	3.000000	n/a	n/a
365.771000	3.000000	missed_trial	3.000000	n/a	n/a
378.282000	3.000000	missed_trial	3.000000	n/a	n/a
389.318000	3.000000	missed_trial	3.000000	n/a	n/a
398.596000	3.000000	missed_trial	3.000000	n/a	n/a
413.079000	3.000000	missed_trial	3.000000	n/a	n/a
425.870000	1.339650	choice_computer	1.339650	4	high
431.144000	1.000000	outcome_computer_defect	1.339650	4	high
