Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,3,0,5.000000e-01,4
2,4,2,1,1,2.500000e+00,2
3,2,4,2,1,5.000000e-01,2
4,0,2,1,0,5.000000e-01,8
5,0,8,1,1,5.000000e-01,8
6,0,2,2,0,2.500000e+00,4
7,2,8,3,1,5.000000e-01,4
8,0,4,2,0,6.500000e+00,6
9,4,0,3,0,4.500000e+00,4
10,0,2,3,0,2.500000e+00,2
11,8,0,2,1,2.500000e+00,6
12,4,2,2,0,5.000000e-01,2
13,2,4,3,0,5.000000e-01,2
14,2,8,2,1,2.500000e+00,2
15,4,8,3,1,5.000000e-01,4
16,2,0,2,1,2.500000e+00,2
17,8,2,1,1,2.500000e+00,6
18,8,4,2,0,5.000000e-01,6
19,8,2,2,0,4.500000e+00,6
20,8,4,2,1,5.000000e-01,2
21,4,0,1,1,5.000000e-01,2
22,8,2,1,0,5.000000e-01,4
23,8,0,1,0,5.000000e-01,2
24,8,0,2,0,4.500000e+00,4
25,0,4,1,0,2.500000e+00,2
26,4,8,3,0,4.500000e+00,2
27,0,2,3,1,4.500000e+00,2
28,0,4,3,1,6.500000e+00,2
29,2,4,1,0,5.000000e-01,2
30,8,0,3,1,5.000000e-01,2
31,2,0,1,1,5.000000e-01,2
32,8,4,1,1,5.000000e-01,2
33,8,4,1,0,2.500000e+00,4
34,2,4,3,1,5.000000e-01,4
35,4,0,2,1,2.500000e+00,10
36,8,2,3,0,4.500000e+00,4
