onset	duration	trial_type	response_time	trust_value	choice
4.080000	1.391090	choice_computer	1.391090	0	low
19.343600	1.145900	choice_friend	1.145900	8	high
24.600700	1.000000	outcome_friend_recip	1.145900	8	high
28.606000	1.218450	choice_computer	1.218450	0	low
39.866000	1.257210	choice_stranger	1.257210	8	high
45.121700	1.000000	outcome_stranger_recip	1.257210	8	high
49.127800	1.298230	choice_friend	1.298230	2	low
54.383300	1.000000	outcome_friend_defect	1.298230	2	low
58.384700	1.276660	choice_friend	1.276660	4	high
66.640700	1.000000	outcome_friend_recip	1.276660	4	high
76.643600	1.486880	choice_stranger	1.486880	4	low
84.899200	1.000000	outcome_stranger_recip	1.486880	4	low
88.903400	1.295200	choice_stranger	1.295200	2	high
94.154800	1.000000	outcome_stranger_recip	1.295200	2	high
100.163000	1.633720	choice_stranger	1.633720	2	low
105.419000	1.000000	outcome_stranger_defect	1.633720	2	low
109.427000	1.572840	choice_computer	1.572840	0	low
120.686000	1.549360	choice_stranger	1.549360	2	high
125.937000	1.000000	outcome_stranger_defect	1.549360	2	high
129.945000	1.887310	choice_stranger	1.887310	0	low
144.701000	1.519900	choice_computer	1.519900	0	low
160.960000	1.413190	choice_friend	1.413190	2	high
166.216000	1.000000	outcome_friend_recip	1.413190	2	high
170.220000	1.587720	choice_friend	1.587720	2	high
175.475000	1.000000	outcome_friend_defect	1.587720	2	high
181.481000	1.594610	choice_stranger	1.594610	4	low
188.236000	1.000000	outcome_stranger_defect	1.594610	4	low
192.241000	1.919820	choice_stranger	1.919820	2	low
198.996000	1.000000	outcome_stranger_recip	1.919820	2	low
203.002000	1.574790	choice_friend	1.574790	4	low
211.256000	1.000000	outcome_friend_defect	1.574790	4	low
221.263000	1.664160	choice_stranger	1.664160	2	low
228.019000	1.000000	outcome_stranger_recip	1.664160	2	low
232.021000	1.807850	choice_friend	1.807850	2	low
237.276000	1.000000	outcome_friend_recip	1.807850	2	low
243.276000	1.605710	choice_stranger	1.605710	2	low
248.531000	1.000000	outcome_stranger_defect	1.605710	2	low
252.538000	1.358310	choice_computer	1.358310	4	high
257.795000	1.000000	outcome_computer_recip	1.358310	4	high
263.794000	1.657220	choice_stranger	1.657220	0	low
275.056000	1.745820	choice_computer	1.745820	4	high
281.812000	1.000000	outcome_computer_defect	1.745820	4	high
285.812000	1.707060	choice_stranger	1.707060	4	high
292.567000	1.000000	outcome_stranger_defect	1.707060	4	high
298.575000	1.380720	choice_friend	1.380720	4	high
303.830000	1.000000	outcome_friend_defect	1.380720	4	high
307.832000	1.572130	choice_friend	1.572130	8	high
313.087000	1.000000	outcome_friend_recip	1.572130	8	high
317.094000	1.577340	choice_computer	1.577340	2	low
323.850000	1.000000	outcome_computer_recip	1.577340	2	low
331.847000	1.408650	choice_computer	1.408650	4	high
340.103000	1.000000	outcome_computer_defect	1.408650	4	high
344.107000	1.568290	choice_computer	1.568290	8	high
349.364000	1.000000	outcome_computer_recip	1.568290	8	high
353.366000	1.308370	choice_friend	1.308370	8	high
361.621000	1.000000	outcome_friend_defect	1.308370	8	high
367.628000	1.551700	choice_computer	1.551700	2	low
374.384000	1.000000	outcome_computer_defect	1.551700	2	low
380.391000	1.420180	choice_friend	1.420180	4	high
385.646000	1.000000	outcome_friend_recip	1.420180	4	high
389.650000	1.532770	choice_computer	1.532770	4	low
394.906000	1.000000	outcome_computer_defect	1.532770	4	low
398.909000	1.238350	choice_friend	1.238350	2	low
405.665000	1.000000	outcome_friend_defect	1.238350	2	low
413.665000	1.303640	choice_computer	1.303640	2	low
420.421000	1.000000	outcome_computer_recip	1.303640	2	low
