Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,2,0,5.000000e-01,2
2,0,4,3,1,5.000000e-01,6
3,4,2,1,1,5.000000e-01,4
4,4,0,1,1,4.500000e+00,2
5,8,0,2,1,5.000000e-01,4
6,8,2,2,0,5.000000e-01,2
7,8,0,3,0,2.500000e+00,2
8,2,0,1,1,5.000000e-01,2
9,0,8,1,1,5.000000e-01,10
10,2,0,2,1,5.000000e-01,2
11,8,2,2,1,4.500000e+00,6
12,2,4,3,1,5.000000e-01,6
13,8,2,1,1,6.500000e+00,2
14,8,4,3,1,5.000000e-01,2
15,4,0,3,0,5.000000e-01,2
16,8,4,1,1,4.500000e+00,6
17,8,2,3,0,5.000000e-01,2
18,2,0,3,1,2.500000e+00,2
19,4,2,2,0,5.000000e-01,4
20,8,2,3,1,4.500000e+00,2
21,8,4,3,0,2.500000e+00,2
22,8,2,1,0,2.500000e+00,2
23,8,4,2,0,5.000000e-01,8
24,0,2,1,0,5.000000e-01,2
25,4,8,2,1,5.000000e-01,4
26,2,4,1,0,5.000000e-01,4
27,4,8,1,0,2.500000e+00,8
28,0,8,3,1,4.500000e+00,2
29,8,0,2,0,6.500000e+00,4
30,2,4,3,0,2.500000e+00,4
31,0,4,2,1,2.500000e+00,4
32,8,0,1,0,4.500000e+00,2
33,2,0,2,0,2.500000e+00,4
34,4,2,2,1,5.000000e-01,4
35,2,0,3,0,2.500000e+00,2
36,4,0,1,0,2.500000e+00,6
