Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,3,0,2.500000e+00,2
2,8,4,1,0,2.500000e+00,6
3,8,0,1,1,5.000000e-01,4
4,2,0,3,1,2.500000e+00,2
5,8,4,2,1,5.000000e-01,2
6,4,2,3,1,5.000000e-01,6
7,0,2,3,0,5.000000e-01,2
8,0,8,3,0,5.000000e-01,4
9,2,0,2,1,5.000000e-01,2
10,8,0,2,0,5.000000e-01,2
11,4,8,1,1,5.000000e-01,4
12,8,0,3,1,6.500000e+00,2
13,2,8,2,0,5.000000e-01,6
14,2,8,3,0,5.000000e-01,4
15,2,4,1,0,5.000000e-01,2
16,0,8,1,0,4.500000e+00,2
17,4,8,3,1,5.000000e-01,2
18,8,2,1,1,2.500000e+00,4
19,2,4,2,0,4.500000e+00,10
20,0,4,3,1,6.500000e+00,2
21,8,2,1,0,5.000000e-01,2
22,4,8,3,0,4.500000e+00,2
23,8,0,2,1,4.500000e+00,6
24,4,2,1,1,2.500000e+00,2
25,0,2,1,1,5.000000e-01,8
26,2,4,2,1,2.500000e+00,4
27,8,2,3,1,2.500000e+00,2
28,8,4,2,0,5.000000e-01,2
29,0,4,2,1,5.000000e-01,6
30,0,2,1,0,4.500000e+00,4
31,0,4,2,0,5.000000e-01,4
32,0,4,1,1,2.500000e+00,8
33,0,4,3,0,2.500000e+00,4
34,4,0,1,0,5.000000e-01,4
35,2,8,2,1,4.500000e+00,2
36,2,0,2,0,2.500000e+00,2
