Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,1,1,2.500000e+00,2
2,2,0,2,1,5.000000e-01,4
3,8,4,2,1,5.000000e-01,4
4,2,8,2,0,5.000000e-01,4
5,0,4,3,0,2.500000e+00,8
6,2,4,3,0,2.500000e+00,4
7,4,2,3,1,5.000000e-01,2
8,0,2,3,0,5.000000e-01,2
9,4,2,2,1,2.500000e+00,4
10,2,0,3,1,4.500000e+00,2
11,2,0,2,0,4.500000e+00,2
12,0,4,2,1,2.500000e+00,2
13,4,8,3,0,5.000000e-01,4
14,8,2,3,0,2.500000e+00,6
15,0,4,2,0,5.000000e-01,4
16,0,4,3,1,2.500000e+00,2
17,0,8,3,0,4.500000e+00,4
18,0,2,1,1,5.000000e-01,4
19,2,4,2,0,4.500000e+00,2
20,8,4,2,0,2.500000e+00,2
21,0,8,2,1,4.500000e+00,8
22,2,8,2,1,5.000000e-01,2
23,0,2,1,0,2.500000e+00,4
24,8,0,1,1,5.000000e-01,6
25,2,8,1,1,6.500000e+00,2
26,0,8,3,1,5.000000e-01,6
27,2,4,1,0,5.000000e-01,6
28,8,0,1,0,5.000000e-01,2
29,0,8,2,0,5.000000e-01,10
30,4,8,1,1,5.000000e-01,2
31,2,4,1,1,5.000000e-01,2
32,8,2,3,1,6.500000e+00,2
33,4,8,1,0,5.000000e-01,2
34,4,8,3,1,2.500000e+00,2
35,8,2,1,0,4.500000e+00,2
36,4,0,1,0,5.000000e-01,6
