subnum,avg_compFair,avg_compUnfair,avg_socialFair,avg_socialUnfair,avg_compFair_logRT,avg_compUnfair_logRT,avg_socialFair_logRT,avg_socialUnfair_logRT,avg_compFair_RT,avg_compUnfair_RT,avg_socialFair_RT,avg_socialUnfair_RT,misses
104,1.000000,1.000000,1.000000,1.000000,0.360611,0.322861,0.352659,0.337448,1.447528,1.384139,1.449548,1.427408,0.000000
105,0.875000,0.392857,0.771875,0.615625,0.455837,0.503648,0.464538,0.503928,1.582302,1.696034,1.602506,1.682153,0.000000
106,0.750000,0.093750,0.515625,0.340625,0.312776,0.255644,0.237874,0.259831,1.378494,1.320285,1.289992,1.319133,0.000000
107,0.531250,0.281250,0.665296,0.475160,0.424349,0.432779,0.392819,0.365730,1.591566,1.600663,1.523261,1.485587,0.000000
108,0.843750,0.250000,0.746875,0.543750,0.149401,0.231358,0.149926,0.108589,1.193950,1.300396,1.180130,1.129765,0.000000
109,1.000000,0.900000,0.879344,0.856838,0.517062,0.572227,0.548324,0.555947,1.739008,1.840017,1.791949,1.810022,0.000000
110,0.937500,0.437500,0.687500,0.553125,0.028397,0.026204,0.027950,0.029880,1.028868,1.026563,1.028535,1.030660,0.000000
111,0.875000,0.437500,0.692708,0.581250,0.157226,0.122328,0.181295,0.181325,1.234632,1.142208,1.249922,1.248092,0.000000
112,0.937500,0.843750,0.790625,0.740625,0.414595,0.446934,0.421307,0.443758,1.526086,1.582991,1.537434,1.576291,0.000000
113,0.781250,0.125000,0.631250,0.415625,0.431605,0.446405,0.436789,0.424991,1.550775,1.576725,1.562585,1.541721,0.000000
115,0.619048,0.531250,0.552823,0.604839,0.574221,0.408011,0.462693,0.453478,1.817324,1.518384,1.604775,1.590131,0.000000
116,0.750000,0.125000,0.543750,0.358574,0.362846,0.309409,0.301453,0.309330,1.450091,1.364855,1.353177,1.368037,0.000000
117,0.937500,0.750000,0.871875,0.818750,0.318266,0.374119,0.322765,0.341912,1.378456,1.468499,1.387241,1.414067,0.000000
118,0.812500,0.625000,0.784375,0.715625,0.513969,0.321068,0.246300,0.279790,1.746704,1.396374,1.298036,1.338076,0.000000
120,0.750000,0.250000,0.590625,0.371875,0.086381,0.143936,0.123666,0.113334,1.094492,1.170542,1.145226,1.131551,0.000000
121,0.875000,0.343750,0.753125,0.593750,0.330043,0.267746,0.297315,0.323324,1.436711,1.331134,1.356694,1.392851,0.000000
122,0.937500,0.906250,0.946875,0.905242,0.476357,0.521383,0.479571,0.479289,1.618353,1.697213,1.623235,1.631688,0.000000
124,1.000000,0.808333,0.940625,0.890625,0.355033,0.335813,0.376074,0.396220,1.438988,1.431461,1.478425,1.510128,0.000000
