subnum,run,avg_comp,avg_OutGrp,avg_InGrp,avg_comp_RT,avg_OutGrp_RT,avg_InGrp_RT,misses
104,1,1.000000,1.000000,1.000000,1.395379,1.414790,1.437301,0.000000
104,2,1.000000,1.000000,1.000000,1.436287,1.534030,1.340300,0.000000
105,1,0.600000,0.708333,0.687500,1.620535,1.626792,1.748655,1.000000
105,2,0.687500,0.625000,0.875000,1.656454,1.581552,1.691831,0.000000
106,1,0.437500,0.541667,0.468750,1.344342,1.315448,1.315001,0.000000
106,2,0.406250,0.333333,0.375000,1.354437,1.293300,1.295523,0.000000
107,1,0.375000,0.541667,0.437500,1.665114,1.581285,1.673129,0.000000
107,2,0.437500,0.695652,0.516129,1.527115,1.398932,1.412445,2.000000
108,1,0.531250,0.666667,0.562500,1.418963,1.303999,1.228598,0.000000
108,2,0.562500,0.708333,0.562500,1.075383,1.025257,1.023980,0.000000
109,1,1.000000,0.954545,0.965517,1.929808,1.868710,1.940122,8.000000
109,2,0.892857,0.750000,0.857143,1.657635,1.736784,1.613645,10.000000
110,1,0.750000,0.666667,0.656250,1.027439,1.026179,1.033170,0.000000
110,2,0.625000,0.541667,0.687500,1.027991,1.031086,1.027620,0.000000
111,1,0.562500,0.541667,0.612903,1.261644,1.473888,1.262954,1.000000
111,2,0.750000,0.625000,0.937500,1.115197,1.104218,1.113718,0.000000
112,1,0.843750,0.750000,0.875000,1.610898,1.628083,1.686421,0.000000
112,2,0.933333,0.750000,0.750000,1.495877,1.457063,1.492049,1.000000
113,1,0.468750,0.458333,0.562500,1.614976,1.568062,1.669245,0.000000
113,2,0.437500,0.583333,0.531250,1.512524,1.515180,1.504601,0.000000
115,1,0.533333,0.416667,0.656250,1.833122,1.665042,1.622932,1.000000
115,2,0.612903,0.652174,0.625000,1.482481,1.568263,1.484734,2.000000
116,1,0.437500,0.583333,0.483871,1.429039,1.360213,1.381991,1.000000
116,2,0.437500,0.333333,0.437500,1.385907,1.355907,1.341106,0.000000
117,1,0.812500,0.791667,0.937500,1.397360,1.418965,1.424993,0.000000
117,2,0.875000,0.875000,0.843750,1.449595,1.361615,1.409667,0.000000
118,1,0.500000,0.666667,0.562500,1.786254,1.376410,1.366773,0.000000
118,2,0.937500,0.875000,0.875000,1.356824,1.271614,1.239385,0.000000
120,1,0.500000,0.416667,0.500000,1.195242,1.183549,1.201041,0.000000
120,2,0.500000,0.541667,0.500000,1.069792,1.075430,1.108993,0.000000
121,1,0.468750,0.583333,0.687500,1.566066,1.442159,1.396739,0.000000
121,2,0.750000,0.791667,0.656250,1.201779,1.336327,1.292363,0.000000
122,1,0.906250,1.000000,0.800000,1.721015,1.604214,1.703539,1.000000
122,2,0.937500,0.875000,0.937500,1.594552,1.658731,1.578995,0.000000
124,1,0.935484,0.875000,1.000000,1.443514,1.523205,1.508843,1.000000
124,2,0.875000,0.958333,0.875000,1.428614,1.516872,1.397039,0.000000
125,1,0.562500,0.478261,0.466667,1.612133,1.816517,1.534379,2.000000
125,2,0.562500,0.583333,0.562500,1.770919,1.721110,1.812921,0.000000
126,1,1.000000,1.000000,1.000000,1.504641,1.421082,1.434437,1.000000
126,2,1.000000,1.000000,1.000000,1.359911,1.235293,1.498897,1.000000
