subnum,avg_compFair,avg_compUnfair,avg_OutGrpFair,avg_OutGrpUnfair,avg_InGrpFair,avg_InGrpUnfair,avg_compFairRT,avg_compUnfairRT,avg_OutGrpFairRT,avg_OutGrpUnfairRT,avg_InGrpFairRT,avg_InGrpUnfairRT,misses
103,0.375000,0.125000,0.500000,0.062500,0.562500,0.125000,1.422959,1.363956,1.379399,1.436064,1.385531,1.393991,0.000000
104,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.447528,1.384139,1.518823,1.390220,1.432160,1.345442,0.000000
105,0.875000,0.392857,0.843750,0.500000,1.000000,0.562500,1.582302,1.696034,1.618092,1.596532,1.596008,1.844478,0.000000
106,0.750000,0.093750,0.750000,0.125000,0.687500,0.156250,1.378494,1.320285,1.372506,1.295535,1.262846,1.347679,0.000000
107,0.531250,0.281250,0.781250,0.433036,0.775000,0.187500,1.591566,1.600663,1.588946,1.421470,1.605589,1.481412,0.000000
108,0.843750,0.250000,0.875000,0.468750,0.875000,0.250000,1.193950,1.300396,1.277823,1.108284,1.226804,1.025774,0.000000
109,1.000000,0.900000,1.000000,0.736264,0.937500,0.880952,1.739008,1.840017,1.930568,1.757914,1.764192,1.784931,0.000000
110,0.937500,0.437500,0.875000,0.312500,0.875000,0.468750,1.028868,1.026563,1.025768,1.029819,1.027478,1.033312,0.000000
111,0.875000,0.437500,0.875000,0.281250,0.933333,0.625000,1.234632,1.142208,1.361573,1.106640,1.173463,1.205050,0.000000
112,0.937500,0.843750,0.937500,0.562500,0.875000,0.750000,1.526086,1.582991,1.561292,1.518669,1.521985,1.656484,0.000000
113,0.781250,0.125000,0.843750,0.187500,0.875000,0.218750,1.550775,1.576725,1.525105,1.570570,1.628556,1.545291,0.000000
114,0.812500,0.125000,0.812500,0.218750,0.593750,0.093750,1.447037,1.263704,1.444126,1.268845,1.338759,1.253162,0.000000
115,0.619048,0.531250,0.500000,0.583333,0.531250,0.750000,1.817324,1.518384,1.571297,1.639629,1.575864,1.531802,0.000000
116,0.750000,0.125000,0.781250,0.125000,0.750000,0.162500,1.450091,1.364855,1.337948,1.370147,1.346628,1.378095,0.000000
117,0.937500,0.750000,0.875000,0.812500,0.968750,0.812500,1.378456,1.468499,1.415153,1.373029,1.365378,1.469282,0.000000
