Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,2,0,5.000000e-01,6
2,0,8,1,0,5.000000e-01,2
3,8,4,2,1,4.500000e+00,4
4,2,8,2,0,6.500000e+00,2
5,8,4,3,1,2.500000e+00,4
6,8,2,1,0,2.500000e+00,2
7,4,0,3,1,5.000000e-01,2
8,2,0,1,1,5.000000e-01,4
9,2,0,2,1,4.500000e+00,6
10,0,8,3,1,2.500000e+00,2
11,4,0,3,0,4.500000e+00,4
12,8,2,3,0,5.000000e-01,6
13,8,2,1,1,5.000000e-01,4
14,4,0,1,1,5.000000e-01,2
15,2,4,2,1,5.000000e-01,4
16,0,2,3,0,2.500000e+00,2
17,2,8,2,1,5.000000e-01,6
18,2,4,3,1,2.500000e+00,4
19,8,4,3,0,5.000000e-01,8
20,8,2,3,1,4.500000e+00,2
21,0,8,1,1,2.500000e+00,2
22,2,0,3,1,6.500000e+00,8
23,4,0,1,0,2.500000e+00,4
24,0,4,2,1,5.000000e-01,2
25,4,0,2,0,5.000000e-01,2
26,0,8,2,0,5.000000e-01,4
27,4,8,1,1,5.000000e-01,2
28,8,0,2,1,4.500000e+00,2
29,8,4,2,0,5.000000e-01,2
30,8,0,3,0,4.500000e+00,2
31,2,0,2,0,2.500000e+00,10
32,2,4,1,1,5.000000e-01,6
33,4,8,1,0,2.500000e+00,2
34,2,0,1,0,5.000000e-01,2
35,2,4,1,0,2.500000e+00,2
36,2,4,3,0,5.000000e-01,4
