Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,3,0,5.000000e-01,4
2,2,0,2,1,2.500000e+00,2
3,4,2,3,0,5.000000e-01,6
4,2,8,2,0,4.500000e+00,8
5,2,4,1,1,4.500000e+00,2
6,4,8,2,1,6.500000e+00,6
7,2,8,1,0,5.000000e-01,4
8,8,2,3,1,4.500000e+00,2
9,0,2,2,0,5.000000e-01,4
10,0,8,2,0,5.000000e-01,2
11,2,0,1,1,5.000000e-01,8
12,0,4,1,1,5.000000e-01,4
13,4,2,2,1,2.500000e+00,2
14,8,2,3,0,5.000000e-01,2
15,2,4,1,0,5.000000e-01,10
16,0,4,1,0,2.500000e+00,2
17,2,0,1,0,2.500000e+00,4
18,0,4,2,1,5.000000e-01,4
19,4,0,3,0,2.500000e+00,2
20,8,0,3,1,5.000000e-01,4
21,4,0,2,0,5.000000e-01,2
22,4,8,2,0,5.000000e-01,2
23,2,8,2,1,5.000000e-01,6
24,8,0,1,1,6.500000e+00,4
25,0,8,1,0,5.000000e-01,2
26,4,0,3,1,5.000000e-01,2
27,0,2,3,0,2.500000e+00,2
28,4,8,1,1,5.000000e-01,4
29,8,0,2,1,2.500000e+00,2
30,2,0,3,1,2.500000e+00,2
31,4,2,3,1,4.500000e+00,6
32,4,8,1,0,5.000000e-01,2
33,4,2,2,0,2.500000e+00,4
34,8,4,3,1,4.500000e+00,2
35,8,0,3,0,2.500000e+00,6
36,8,2,1,1,4.500000e+00,2
