Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,4,2,0,5.000000e-01,6
2,2,0,2,1,5.000000e-01,4
3,4,0,2,1,2.500000e+00,4
4,4,0,2,0,2.500000e+00,2
5,8,4,3,1,2.500000e+00,6
6,8,2,1,0,5.000000e-01,2
7,2,8,2,0,4.500000e+00,2
8,4,2,3,0,5.000000e-01,2
9,4,2,2,0,5.000000e-01,2
10,4,0,3,1,5.000000e-01,4
11,0,4,1,0,2.500000e+00,4
12,8,4,1,1,5.000000e-01,4
13,0,2,3,0,2.500000e+00,4
14,2,0,2,0,5.000000e-01,2
15,4,2,2,1,5.000000e-01,4
16,2,4,1,0,5.000000e-01,2
17,0,8,3,1,2.500000e+00,6
18,8,0,1,1,2.500000e+00,2
19,8,2,1,1,5.000000e-01,2
20,0,4,1,1,5.000000e-01,6
21,2,0,1,0,2.500000e+00,2
22,2,4,3,1,5.000000e-01,2
23,8,4,2,1,4.500000e+00,10
24,2,4,1,1,4.500000e+00,2
25,8,4,3,0,5.000000e-01,8
26,2,8,3,0,5.000000e-01,4
27,8,0,1,0,2.500000e+00,4
28,2,8,3,1,6.500000e+00,2
29,8,2,2,1,2.500000e+00,2
30,0,4,3,0,4.500000e+00,4
31,0,8,3,0,5.000000e-01,2
32,4,8,1,0,4.500000e+00,2
33,0,2,1,1,5.000000e-01,8
34,0,8,2,0,5.000000e-01,2
35,8,0,2,1,6.500000e+00,6
36,0,2,3,1,4.500000e+00,2
